customer_id,churn_value,churn_label,customer_status,churn_category,churn_reason,tenure,tenure_cohort,cluster,early_churn,monthly_charges,total_charges,total_revenue,cltv,contract,payment_method,paperless_billing,satisfaction_score,number_of_referrals,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,num_streaming_services,has_security_service,total_services_used,avg_monthly_gb_download
0002-ORFBO,0,No,Stayed,Not Applicable,,9,7–12,2,0,65.6,593.3,974.81,2205,One Year,Mailed check,Yes,3,2,No,Yes,No,Yes,Yes,No,No,1,1,3,16
0003-MKNFE,0,No,Stayed,Not Applicable,,9,7–12,2,0,59.9,542.4,610.28,5414,Month-to-Month,Mailed check,No,5,0,No,No,No,No,No,Yes,Yes,2,0,2,10
0004-TLHLJ,1,Yes,Churned,Competitor,Competitor had better devices,4,4–6,2,1,73.9,280.85,415.45,4479,Month-to-Month,Electronic check,Yes,1,0,No,No,Yes,No,No,No,No,0,1,1,30
0011-IGKFF,1,Yes,Churned,Dissatisfaction,Product dissatisfaction,13,13–24,2,0,98.0,1237.85,1599.51,3714,Month-to-Month,Electronic check,Yes,1,1,No,Yes,Yes,No,Yes,Yes,No,2,1,4,4
0013-EXCHZ,1,Yes,Churned,Dissatisfaction,Network reliability,3,0–3,2,1,83.9,267.4,289.54,3464,Month-to-Month,Mailed check,Yes,1,3,No,No,No,Yes,Yes,No,No,1,0,2,11
0013-MHZWF,0,No,Stayed,Not Applicable,,9,7–12,2,0,69.4,571.45,722.38,5108,Month-to-Month,Credit card (automatic),Yes,3,0,No,No,No,Yes,Yes,Yes,Yes,3,0,4,73
0013-SMEOE,0,No,Stayed,Not Applicable,,71,25+,1,0,109.7,7904.25,8611.41,5011,Two Year,Bank transfer (automatic),Yes,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,14
0014-BMAQU,0,No,Stayed,Not Applicable,,63,25+,1,0,84.65,5377.8,6214.28,4604,Two Year,Credit card (automatic),Yes,4,8,Yes,No,No,Yes,No,No,No,0,1,2,7
0015-UOCOJ,0,No,Stayed,Not Applicable,,7,7–12,0,0,48.2,340.35,414.06,5525,Two Year,Electronic check,Yes,3,0,Yes,No,No,No,No,No,No,0,1,1,21
0016-QLJIS,0,No,Stayed,Not Applicable,,65,25+,1,0,90.45,5957.9,7807.8,5509,Two Year,Mailed check,Yes,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,14
0017-DINOC,0,No,Stayed,Not Applicable,,54,25+,0,0,45.2,2460.55,2460.55,5435,Two Year,Credit card (automatic),No,4,0,Yes,No,No,Yes,Yes,No,No,1,1,3,10
0017-IUDMW,0,No,Stayed,Not Applicable,,72,25+,1,0,116.8,8456.75,9609.47,6252,Two Year,Credit card (automatic),Yes,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,1,7,59
0018-NYROU,0,No,Stayed,Not Applicable,,5,4–6,0,0,68.95,351.5,444.75,5536,Month-to-Month,Electronic check,Yes,3,0,No,No,No,No,No,No,No,0,0,0,10
0019-EFAEP,0,No,Stayed,Not Applicable,,72,25+,1,0,101.3,7261.25,7423.25,5513,Two Year,Bank transfer (automatic),Yes,3,0,Yes,Yes,Yes,No,Yes,No,No,1,1,4,16
0019-GFNTW,0,No,Stayed,Not Applicable,,56,25+,1,0,45.05,2560.1,2560.1,5795,Two Year,Bank transfer (automatic),No,3,0,Yes,Yes,Yes,Yes,No,No,No,0,1,4,19
0020-INWCK,0,No,Stayed,Not Applicable,,71,25+,1,0,95.75,6849.4,8784.86,4865,Two Year,Credit card (automatic),Yes,5,9,No,Yes,Yes,No,No,Yes,Yes,2,1,4,12
0020-JDNXP,0,No,Stayed,Not Applicable,,34,25+,2,0,61.25,1993.2,1993.2,3607,One Year,Mailed check,No,4,0,Yes,No,Yes,Yes,Yes,Yes,Yes,3,1,6,20
0021-IKXGC,0,No,Joined,Not Applicable,,1,0–3,2,0,72.1,72.1,79.87,4432,One Year,Electronic check,Yes,4,0,No,No,No,No,No,No,No,0,0,0,22
0022-TCJCI,1,Yes,Churned,Dissatisfaction,Limited range of services,45,25+,2,0,62.7,2791.5,3271.65,2654,One Year,Credit card (automatic),No,1,0,Yes,No,Yes,No,No,Yes,No,1,1,3,17
0023-HGHWL,1,Yes,Churned,Competitor,Competitor made better offer,1,0–3,0,1,25.1,25.1,25.1,5437,Month-to-Month,Electronic check,Yes,3,0,No,No,No,No,No,No,No,0,0,0,9
0023-UYUPN,0,No,Stayed,Not Applicable,,50,25+,0,0,25.2,1306.3,2877.8,4015,One Year,Electronic check,No,3,0,No,No,No,No,No,No,No,0,0,0,0
0023-XUOPT,1,Yes,Churned,Other,Don't know,13,13–24,2,0,94.1,1215.6,1781.88,2973,Month-to-Month,Electronic check,No,1,1,No,Yes,Yes,No,Yes,No,No,1,1,3,52
0027-KWYKW,0,No,Stayed,Not Applicable,,23,13–24,2,0,83.75,1849.95,2652.88,3585,Month-to-Month,Electronic check,Yes,4,1,No,No,No,No,Yes,No,No,1,0,1,30
0030-FNXPP,0,No,Joined,Not Applicable,,3,0–3,0,0,19.85,57.2,66.56,5634,Month-to-Month,Mailed check,No,4,0,No,No,No,No,No,No,No,0,0,0,0
